Arrival_Time,x,y,z
23-02-2015 18:33,-0.5650316,-9.572019,-0.61411273
23-02-2015 18:33,-0.83258367,-9.713276,-0.60693014
23-02-2015 18:33,-1.0181342,-9.935339,-0.54408234
23-02-2015 18:33,-1.2228385,-10.142437,-0.5662287
23-02-2015 18:33,-1.5771804,-10.480618,-0.40282443
23-02-2015 18:33,-2.1643584,-10.920552,-0.18375498
23-02-2015 18:33,-2.973,-11.063007,0.21188685
23-02-2015 18:33,-3.8881836,-11.08276,0.6847417
23-02-2015 18:33,-4.8919525,-10.890625,1.01574
23-02-2015 18:33,-12.600683,-7.674015,-1.1791444
23-02-2015 18:33,-9.214086,-4.5567646,0.2172738
23-02-2015 18:33,-9.214086,-4.5567646,0.2172738
23-02-2015 18:33,-9.240421,-4.104859,0.22325931
23-02-2015 18:33,-9.273342,-3.7295678,0.24061728
23-02-2015 18:33,-9.1668,-3.6703112,-0.729633
23-02-2015 18:33,-9.153033,-3.6056678,-0.7326257
23-02-2015 18:33,-9.1512375,-3.6122518,-0.74519527
23-02-2015 18:33,-9.202713,-3.6463692,-0.729633
23-02-2015 18:33,-9.288904,-3.7361517,-0.7266402
23-02-2015 18:33,-9.2907,-3.7720647,-0.7302315
23-02-2015 18:33,-9.2308445,-3.809175,-0.7799112
23-02-2015 18:33,-9.1350765,-3.7391446,-0.7733272
23-02-2015 18:33,-9.127894,-3.6703112,-0.82779527
23-02-2015 18:33,-9.196129,-3.626617,-0.8523358
23-02-2015 18:33,-9.236232,-3.7128084,-0.8038532
23-02-2015 18:33,-9.200917,-3.6846764,-0.7152678
23-02-2015 18:33,-9.148843,-3.650559,-0.6919243
23-02-2015 18:33,-9.152434,-3.6170402,-0.682946
23-02-2015 18:33,-9.221867,-3.7014358,-0.7781156
23-02-2015 18:33,-9.314642,-3.6116533,-0.7338228
23-02-2015 18:33,-9.3499565,-3.5571852,-0.75477207
23-02-2015 18:33,-9.238028,-3.620033,-0.6985083
23-02-2015 18:33,-9.302073,-3.5637693,-0.82360536
23-02-2015 18:33,-9.25359,-3.7134068,-0.81283146
23-02-2015 18:33,-9.231443,-3.751714,-0.83737206
23-02-2015 18:33,-9.231443,-3.7445314,-0.8451532
23-02-2015 18:33,-9.207501,-3.6134489,-0.7410054
23-02-2015 18:33,-9.144653,-3.6302083,-0.6775591
23-02-2015 18:33,-9.106346,-3.6463692,-0.6631939
